
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter-batch.ts: line 52, col 20, Error - Using Chinese characters: '架构决策记录' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter-batch.ts: line 56, col 20, Error - Using Chinese characters: '方案设计' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter-batch.ts: line 60, col 20, Error - Using Chinese characters: '操作手册' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter-batch.ts: line 64, col 20, Error - Using Chinese characters: '包文档' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter-batch.ts: line 68, col 20, Error - Using Chinese characters: '组件文档' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter-batch.ts: line 73, col 20, Error - Using Chinese characters: '集成指南' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter-batch.ts: line 78, col 20, Error - Using Chinese characters: '系统指南' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter-batch.ts: line 83, col 20, Error - Using Chinese characters: '表单指南' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter-batch.ts: line 88, col 20, Error - Using Chinese characters: 'Layout 组件' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter-batch.ts: line 135, col 17, Error - Using Chinese characters: ⏭️  跳过（已有 frontmatter）:  (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter-batch.ts: line 145, col 15, Error - Using Chinese characters: ✅ 已添加 frontmatter:  (i18n/no-chinese-character)
