
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\app.ts: line 8, col 9, Error - Using Chinese characters: '公司首页' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\app.ts: line 9, col 16, Error - Using Chinese characters: 'BTC车间管理系统 - 公司首页和关于我们' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\home\views\index.vue: line 273, col 11, Error - Using Chinese characters: 'BNF 产品系列' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\home\views\index.vue: line 279, col 11, Error - Using Chinese characters: 'NV11 光谱系列' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\home\views\index.vue: line 285, col 11, Error - Using Chinese characters: 'NV200 光谱系列' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\home\views\index.vue: line 291, col 11, Error - Using Chinese characters: 'NV22 光谱系列' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\home\views\index.vue: line 297, col 11, Error - Using Chinese characters: 'NV4000 产品系列' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\home\views\index.vue: line 303, col 11, Error - Using Chinese characters: 'NV9 光谱系列' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\home\views\index.vue: line 309, col 11, Error - Using Chinese characters: '安全接口系统' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\home\views\index.vue: line 315, col 11, Error - Using Chinese characters: '智能硬币系统' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\home\views\index.vue: line 321, col 11, Error - Using Chinese characters: '智能储币器' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\home\views\index.vue: line 327, col 11, Error - Using Chinese characters: '光谱支付系统' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\home\views\index.vue: line 333, col 11, Error - Using Chinese characters: '双智能硬币系统' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 130, col 43, Error - Using Chinese characters: '图片1' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 131, col 43, Error - Using Chinese characters: '图片2' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 132, col 43, Error - Using Chinese characters: '图片3' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 133, col 43, Error - Using Chinese characters: '图片5' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 134, col 43, Error - Using Chinese characters: '图片6' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 135, col 43, Error - Using Chinese characters: '图片7' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 136, col 43, Error - Using Chinese characters: '图片8' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 137, col 43, Error - Using Chinese characters: '图片9' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 138, col 46, Error - Using Chinese characters: '图片10' (i18n/no-chinese-character)
