
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcBarChart.vue: line 124, col 16, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcBarChart.vue: line 130, col 16, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcBarChart.vue: line 135, col 16, Error - Using Chinese characters: '还原' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcBarChart.vue: line 184, col 27, Error - Using Chinese characters: '[BtcBarChart] 更新图表失败:' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcLineChart.vue: line 151, col 18, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcLineChart.vue: line 157, col 18, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcLineChart.vue: line 162, col 18, Error - Using Chinese characters: '还原' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcLineChart.vue: line 208, col 27, Error - Using Chinese characters: '[BtcLineChart] 更新图表失败:' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcPieChart.vue: line 105, col 16, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcPieChart.vue: line 111, col 16, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcPieChart.vue: line 116, col 16, Error - Using Chinese characters: '还原' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcPieChart.vue: line 122, col 13, Error - Using Chinese characters: '数据' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\BtcPieChart.vue: line 183, col 27, Error - Using Chinese characters: '[BtcPieChart] 更新图表失败:' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\basic\composables\useBarChart.ts: line 36, col 20, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\basic\composables\useBarChart.ts: line 42, col 20, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\basic\composables\useBarChart.ts: line 47, col 20, Error - Using Chinese characters: '还原' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\dual-compare\components\BtcDualBarCompareChart.vue: line 34, col 11, Error - Using Chinese characters: '数据1' (i18n/no-chinese-cha
racter)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\dual-compare\components\BtcDualBarCompareChart.vue: line 35, col 11, Error - Using Chinese characters: '数据2' (i18n/no-chinese-cha
racter)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\dual-compare\composables\useDualBarCompareChart.ts: line 32, col 32, Error - Using Chinese characters: '数据1' (i18n/no-chinese-cha
racter)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\dual-compare\composables\useDualBarCompareChart.ts: line 32, col 55, Error - Using Chinese characters: '数据2' (i18n/no-chinese-cha
racter)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\dual-compare\composables\useDualBarCompareChart.ts: line 41, col 20, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-c
haracter)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\dual-compare\composables\useDualBarCompareChart.ts: line 47, col 20, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-ch
aracter)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\dual-compare\composables\useDualBarCompareChart.ts: line 52, col 20, Error - Using Chinese characters: '还原' (i18n/no-chinese-char
acter)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\dual-compare\composables\useDualBarCompareChart.ts: line 85, col 33, Error - Using Chinese characters: '数据1' (i18n/no-chinese-cha
racter)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\dual-compare\composables\useDualBarCompareChart.ts: line 101, col 33, Error - Using Chinese characters: '数据2' (i18n/no-chinese-ch
aracter)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\horizontal\composables\useHBarChart.ts: line 39, col 20, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\horizontal\composables\useHBarChart.ts: line 45, col 20, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\bar\horizontal\composables\useHBarChart.ts: line 50, col 20, Error - Using Chinese characters: '还原' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\composables\useChart.ts: line 555, col 28, Error - Using Chinese characters: '[useChart] 容器尺寸检查超时，图表可能无法正常显示' (i18n/no-chinese-charac
ter)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\composables\useChart.ts: line 597, col 24, Error - Using Chinese characters: '[useChart] 容器尺寸不足，等待ResizeObserver触发' (i18n/no-chinese-
character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\composables\useChart.ts: line 626, col 36, Error - Using Chinese characters: '[useChart] resize失败:' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\composables\useChart.ts: line 637, col 22, Error - Using Chinese characters: '[useChart] 获取图表实例失败:' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\composables\useChart.ts: line 791, col 28, Error - Using Chinese characters: '[useChart] 主题更新失败:' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\composables\useChart.ts: line 810, col 26, Error - Using Chinese characters: '[useChart] 更新图表选项失败:' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\composables\useChart.ts: line 842, col 26, Error - Using Chinese characters: '[useChart] safeUpdateChartInstance: 容器尺寸不足，等待ResizeObse
rver' (i18n/no-chinese-character)
